source_file,legacy_path_or_template,normalized_path,type,dynamic_template,binary_available,status
core/src/player/CPlayer.java,fan1.png,fan1.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,fan2.png,fan2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/model/Font.java,fb.png,fb.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/model/Font.java,fb1.png,fb1.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/model/Font.java,fb2.png,fb2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/model/Font.java,fb3.png,fb3.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/model/Font.java,fb4.png,fb4.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/model/Font.java,fcg14m.png,fcg14m.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,fighter.png,fighter.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,fire.png,fire.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Explosion.java,freeze.png,freeze.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,front_fan.png,front_fan.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/model/Font.java,fs0.png,fs0.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/model/Font.java,fs1.png,fs1.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,ga.png,ga.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,gaBull2.png,gaBull2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Smoke.java,gatruilong.png,gatruilong.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,greenP.png,greenP.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,grenade.png,grenade.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,gun.png,gun.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,gunIcon.png,gunIcon.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,gunbig.png,gunbig.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/CMap.java,h14x12.png,h14x12.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/CMap.java,h32x26.png,h32x26.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/CMap.java,h36x30.png,h36x30.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/CMap.java,h55x50.png,h55x50.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/CMap.java,hgrenade.png,hgrenade.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,hongTam.png,hongTam.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/CMap.java,hrangcua.png,hrangcua.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,icon.png,icon.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,inWater.png,inWater.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,injured.png,injured.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,item.png,item.png,image,NO,NO,BLOCKED_ASSET_MISSING
